annotation,folder,component_token,component_key,component_order,expanded_name,source_note
Gliosis,00_Gliosis,Gliosis,gliosis,1,Reactive gliosis and inflammatory response,Summarizes the reactive gliosis signatures detailed in de Jong et al. 2025
OPC-AC-like 1,01_OPC-AC-like_1,OPC,opc,1,Oligodendrocyte precursor-like malignant program,Matches oligodendrocyte precursor states described in de Jong et al. 2025
OPC-AC-like 1,01_OPC-AC-like_1,AC,ac,2,Astrocyte-like malignant program,Described as astrocyte lineage mimicry in de Jong et al. 2025
NPC-neuronal-like 1,02_NPC-neuronal-like_1,NPC,npc,1,Neural progenitor-like proliferative program,Reflects neural progenitor-like programs highlighted in de Jong et al. 2025
NPC-neuronal-like 1,02_NPC-neuronal-like_1,neuronal,neuronal,2,Neuronal differentiation and signaling program,Summarizes neuronal signaling features in de Jong et al. 2025
NPC-neuronal-like 2,03_NPC-neuronal-like_2,NPC,npc,1,Neural progenitor-like proliferative program,Reflects neural progenitor-like programs highlighted in de Jong et al. 2025
NPC-neuronal-like 2,03_NPC-neuronal-like_2,neuronal,neuronal,2,Neuronal differentiation and signaling program,Summarizes neuronal signaling features in de Jong et al. 2025
AC-gliosis-like 1,04_AC-gliosis-like_1,AC,ac,1,Astrocyte-like malignant program,Described as astrocyte lineage mimicry in de Jong et al. 2025
AC-gliosis-like 1,04_AC-gliosis-like_1,gliosis,gliosis,2,Reactive gliosis and inflammatory response,Summarizes the reactive gliosis signatures detailed in de Jong et al. 2025
AC-neuronal-like,05_AC-neuronal-like,AC,ac,1,Astrocyte-like malignant program,Described as astrocyte lineage mimicry in de Jong et al. 2025
AC-neuronal-like,05_AC-neuronal-like,neuronal,neuronal,2,Neuronal differentiation and signaling program,Summarizes neuronal signaling features in de Jong et al. 2025
OPC-NPC-like,06_OPC-NPC-like,OPC,opc,1,Oligodendrocyte precursor-like malignant program,Matches oligodendrocyte precursor states described in de Jong et al. 2025
OPC-NPC-like,06_OPC-NPC-like,NPC,npc,2,Neural progenitor-like proliferative program,Reflects neural progenitor-like programs highlighted in de Jong et al. 2025
Proliferative,07_Proliferative,Proliferative,proliferative,1,Proliferative cycling and mitotic program,Corresponds to the proliferative trajectories reported in de Jong et al. 2025
Gliosis-hypoxia,08_Gliosis-hypoxia,Gliosis,gliosis,1,Reactive gliosis and inflammatory response,Summarizes the reactive gliosis signatures detailed in de Jong et al. 2025
Gliosis-hypoxia,08_Gliosis-hypoxia,hypoxia,hypoxia,2,Hypoxic and angiogenic adaptation program,Captures the hypoxia-driven angiogenic responses described in de Jong et al. 2025
Proliferative 2,09_Proliferative_2,Proliferative,proliferative,1,Proliferative cycling and mitotic program,Corresponds to the proliferative trajectories reported in de Jong et al. 2025
AC-gliosis-like 2,10_AC-gliosis-like_2,AC,ac,1,Astrocyte-like malignant program,Described as astrocyte lineage mimicry in de Jong et al. 2025
AC-gliosis-like 2,10_AC-gliosis-like_2,gliosis,gliosis,2,Reactive gliosis and inflammatory response,Summarizes the reactive gliosis signatures detailed in de Jong et al. 2025
OPC-like 1,11_OPC-like_1,OPC,opc,1,Oligodendrocyte precursor-like malignant program,Matches oligodendrocyte precursor states described in de Jong et al. 2025
NPC-neuronal-like 3,12_NPC-neuronal-like_3,NPC,npc,1,Neural progenitor-like proliferative program,Reflects neural progenitor-like programs highlighted in de Jong et al. 2025
NPC-neuronal-like 3,12_NPC-neuronal-like_3,neuronal,neuronal,2,Neuronal differentiation and signaling program,Summarizes neuronal signaling features in de Jong et al. 2025
OPC-like 2,13_OPC-like_2,OPC,opc,1,Oligodendrocyte precursor-like malignant program,Matches oligodendrocyte precursor states described in de Jong et al. 2025
OPC-AC-like 2,14_OPC-AC-like_2,OPC,opc,1,Oligodendrocyte precursor-like malignant program,Matches oligodendrocyte precursor states described in de Jong et al. 2025
OPC-AC-like 2,14_OPC-AC-like_2,AC,ac,2,Astrocyte-like malignant program,Described as astrocyte lineage mimicry in de Jong et al. 2025
